step,action,action_bin,action_vec_norm,free_energy,confidence,obs_norm,frame_mean,beta,info_gain,last_sleep_round,last_sleep_delta_fe,last_sleep_replayed
232,1,1,2.425909,38.259391,0.903120,1.000000,7.631531,0.539650,0.753728,0,0.025436,8
233,0,4,2.661041,38.434193,0.902809,1.000000,7.631531,0.537670,0.678809,0,0.025436,8
234,0,5,2.257176,38.313229,0.902959,1.000000,7.631531,0.535690,0.568937,0,0.025436,8
235,0,3,2.326188,38.279317,0.902655,1.000000,7.631531,0.533710,0.591848,0,0.025436,8
236,0,5,2.570168,38.112151,0.902120,1.000000,7.631531,0.531730,0.550372,0,0.025436,8
237,1,0,2.546502,38.178720,0.902837,1.000000,7.631531,0.529750,0.658061,0,0.025436,8
238,1,6,2.327428,37.990237,0.902399,1.000000,7.631531,0.527770,0.795460,0,0.025436,8
239,0,3,2.271770,38.170152,0.902506,1.000000,7.631531,0.525790,0.652265,0,0.025436,8
240,2,5,2.555450,38.015178,0.902217,1.000000,7.631531,0.523810,0.525798,0,0.025436,8
241,1,1,2.310903,38.075638,0.902016,1.000000,7.631531,0.521830,0.821590,0,0.025436,8
242,3,2,2.462444,38.132050,0.902202,1.000000,7.631531,0.519850,0.493289,0,0.025436,8
243,0,3,2.494851,38.103694,0.902722,1.000000,7.631531,0.517870,0.445834,0,0.025436,8
244,0,2,2.514240,38.123968,0.902584,1.000000,7.631531,0.515890,0.474000,0,0.025436,8
245,1,1,2.740543,37.978743,0.902508,1.000000,7.631531,0.513910,0.801087,0,0.025436,8
246,1,1,2.339490,37.789983,0.902577,1.000000,7.631531,0.511930,0.578954,0,0.025436,8
247,0,2,2.699996,37.699402,0.902242,1.000000,7.631531,0.509950,0.298520,0,0.025436,8
248,1,6,2.556678,38.020755,0.903177,1.000000,7.631531,0.507970,0.713789,0,0.025436,8
249,1,0,2.672013,38.094341,0.902086,1.000000,7.631531,0.505990,0.637026,0,0.025436,8
250,1,0,2.360105,37.999203,0.902475,1.000000,7.631531,0.504010,0.693707,0,0.025436,8
251,0,4,2.553682,37.849033,0.902837,1.000000,7.631531,0.502030,0.573275,0,0.025436,8
252,0,3,2.350684,37.888226,0.902773,1.000000,7.631531,0.500050,0.420612,0,0.025436,8
253,0,5,2.580468,37.972977,0.902839,1.000000,7.631531,0.498070,0.619692,0,0.025436,8
254,0,5,2.633620,37.732507,0.902859,1.000000,7.631531,0.496090,0.531341,0,0.025436,8
255,0,5,2.344845,37.842762,0.902124,1.000000,7.631531,0.494110,0.478102,0,0.025436,8
256,2,6,2.550803,37.794705,0.902839,1.000000,7.631531,0.492130,0.567889,0,0.025436,8
257,3,2,2.312779,37.673856,0.902862,1.000000,7.631531,0.490150,0.373614,0,0.025436,8
258,1,0,2.142440,37.891015,0.902638,1.000000,7.631531,0.488170,0.793065,0,0.025436,8
259,2,6,2.337715,37.951729,0.902809,1.000000,7.631531,0.486190,0.524018,0,0.025436,8
260,1,7,2.535262,37.675734,0.902670,1.000000,7.631531,0.484210,0.617200,0,0.025436,8
